carrec,r2013,dieta,dietes,retribucio,total,nom,dept,detalls,naut,danual,column,column2,carrec2
| Secretari/ària,,,,"€44,273.60","€44,273.60","Bofill Malagarriga, Carlota",PR,2014,,,,,Secretari/ària
| Assessor/a Del/de La Secretari/ària General,,,,"€56,941.19","€56,941.19","Bohils Cuberta, Joaquim",PR,2014,,,,,Assessor/a Del/de La Secretari/ària General
| Director del Programa per a l'aplicació i desenvolupament dels tributs de Catalunya,,,,"€98,780.35","€98,780.35","Boixareu Cortina, Jordi",EC,2014,,,,,Director del Programa per a l'aplicació i desenvolupament dels tributs de Catalunya
Consell d'Administració CAR | President,8,251.52,"€2,012.16",,"€2,012.16","Boixeda De Miquel, Agustí",PR,,251.52,2012.16,,,President
Consell Rector Escola d'Administració Pública de Catalunya | Vocal,2,94.66,€189.32,,€189.32,"Boltama Bosch, Xavier",GO,,94.66,189.32,,,Vocal
Comissió Territorial d’Urbanisme de Barcelona | Cap del Servei Territorial d’Urbanisme de l’Arc Metropolità de Barcelona II del Departament de Territori i Sostenibilitat,8,64.91,€519.28,,€519.28,"Boluda Monzó, Isabel",PO,64.91,No autoritza publicació,519.28,,,Cap del Servei Territorial d’Urbanisme de l’Arc Metropolità de Barcelona II del Departament de Territori i Sostenibilitat
Comissió de Política Territorial i Urbanisme de Catalunya | Vocal Cap del Servei Territorial d’Urbanisme de l’Arc Metropolità de Barcelona II del Departament de Territori i Sostenibilitat,4,64.91,€259.64,,€259.64,"Boluda Monzó, Isabel",PO,64.91,No autoritza publicació,259.64,,,Vocal Cap del Servei Territorial d’Urbanisme de l’Arc Metropolità de Barcelona II del Departament de Territori i Sostenibilitat
Comissió Territorial d’Urbanisme de Barcelona. Ponència Tècnica | Cap del Servei Territorial d’Urbanisme de l’Arc Metropolità de Barcelona II del Departament de Territori i Sostenibilitat,8,64.91,€519.28,,€519.28,"Boluda Monzó, Isabel",PO,64.91,No autoritza publicació,519.28,,,Cap del Servei Territorial d’Urbanisme de l’Arc Metropolità de Barcelona II del Departament de Territori i Sostenibilitat
Institut d’Estadística de Catalunya (Idescat). Consell Català d’Estadística  | Vocal,1,64.91,€64.91,,€64.91,"Bonal Ferrer, Moisés",EC,,64.91,64.91,,,Vocal
Comissió Territorial d’Urbanisme de Barcelona. Ponència Tècnica | Vocal Arquitecta dels Serveis Territorials del Departament de Cultura a Barcelona,8,64.91,€519.28,,€519.28,"Boncompte Vilarrasa, Isabel",PO,64.91,No autoritza publicació,519.28,,,Vocal Arquitecta dels Serveis Territorials del Departament de Cultura a Barcelona
Jurat Expropiació Girona | Vocals titulars,20,108,"€2,160.00",,"€2,160.00","Bordas Tutau, Pere",GO,,108,2160,,,Vocals titulars
Comissió Territorial d’Urbanisme de Barcelona | Vocal Regidor de l’Ajuntament del Papiol,8,64.91,€519.28,,€519.28,"Borràs Alborch, Joan",PO,64.91,No autoritza publicació,519.28,,,Vocal Regidor de l’Ajuntament del Papiol
Comissió Territorial d’Urbanisme de Terres de l’Ebre | Vocal Director de l’Institut per al Desenvolupament de les Comarques de l’Ebre,5,64.91,€324.55,,€324.55,"Borràs Ollé, Jordi",PO,,64.91,324.55,,,Vocal Director de l’Institut per al Desenvolupament de les Comarques de l’Ebre
Consell Escolar Catalunya Ple i Comissions | Secretària,13,43.27,€562.51,,€562.51,"Borràs Riba, Berta",EN,,43.27,562.51,,,Secretària
Patronat ESMUC  | Patró,2,0,€0.00,,€0.00,"Borràs Roca, Josep",EN,,Renúncia,0,,,Patró
"Comissió Territorial d’Urbanisme de Tarragona. Ponència Tècnica | Vocal Col·legi d’Enginyers de Camins, Canals i Ports",8,64.91,€519.28,,€519.28,"Borràs Tous, Joan",PO,64.91,No autoritza publicació,519.28,,,"Vocal Col·legi d’Enginyers de Camins, Canals i Ports"
Comissió Territorial d’Urbanisme de Tarragona. Ponència Tècnica | Vocal Associació Catalana de Municipis i Comarques,8,64.91,€519.28,,€519.28,"Borrat Vallvé, Jaume",PO,,64.91,519.28,,,Vocal Associació Catalana de Municipis i Comarques
Institut Català de la Salut Consell d'Administració,5,378,"€1,890.00",,"€1,890.00","Borrell Carrió, Francesc",SA,378,no autoritza,1890,,,
Comissió Territorial d’Urbanisme de Lleida | Vocal d’Urbanisme de Lleida Director dels Serveis Territorials del Departament de Cultura a Lleida,8,64.91,€519.28,,€519.28,"Borrell Figuera, Josep",PO,,64.91,519.28,,,Vocal d’Urbanisme de Lleida Director dels Serveis Territorials del Departament de Cultura a Lleida
Promotora d'Exportacïons Catalanes SA | Vocal,3,162.27,€486.81,,€486.81,"Bort Ferrando, Jordi",AG,,162.27,486.81,,,Vocal
| Director general de I'lnstitut Català de la Vinya i el Ví,,,,"€76,270.35","€76,270.35","Bort Ferrando, Jordi",AG,2013,,,,,Director general de I'lnstitut Català de la Vinya i el Ví
Consell Rector de l’Institut per al Desenvolupament de les Comarques de l’Ebre (IDECE) | Vocal (Representant del Consell Comarcal del Montsià),2,63.11,€126.22,,€126.22,"Bort Fibla, Ricart",PO,,63.11,126.22,,,Vocal (Representant del Consell Comarcal del Montsià)
Consell d’Administració de l’Agencia Catalana de l’Aigua | Vocal (Representant del Consell General de Cambres de Catalunya),4,551.72,"€2,206.88",,"€2,206.88","Bosch Andreu, Narcís",PO,,551.72,2206.88,,,Vocal (Representant del Consell General de Cambres de Catalunya)
| Responsable de Comunicació Corporativa,,,,"€51,456.50","€51,456.50","Bosch Badia, Rosa",SA,2013,,,,,Responsable de Comunicació Corporativa
| Delegat/ada Del Govern de La Gtat. A Madrid,,,,"€79,651.66","€79,651.66","Bosch Bessa, Josep Maria",PR,2014,,,,,Delegat/ada Del Govern de La Gtat. A Madrid
Jurat Expropiació Barcelona | Vocals titulars,28,108,"€3,024.00",,"€3,024.00","Bosch Cabot, Guillermina",GO,,108,3024,,,Vocals titulars
Jurat Expropiació Terres de l'Ebre | Vocals titulars,8,108,€864.00,,€864.00,"Bosch Folch, Bernat",GO,,108,864,*****,,Vocals titulars
Jurat Expropiació Girona | Vocals titulars,20,108,"€2,160.00",,"€2,160.00","Bosch Folch, Bernat",GO,,Pendent autorització,2160,*****,,Vocals titulars
Jurat Expropiació Lleida | Vocals suplents,20,108,"€2,160.00",,"€2,160.00","Bosch Folch, Bernat",GO,,108,2160,*****,,Vocals suplents
Jurat Expropiació Tarragona | Vocals titulars,10,108,"€1,080.00",,"€1,080.00","Bosch Folch, Bernat",GO,,108,1080,*****,,Vocals titulars
| Director general,,,,"€76,270.38","€76,270.38","Bosch Garcia, Xavier",BE,2013,,,,,Director general
Comissió Territorial d’Urbanisme de la Catalunya Central. Ponència Tècnica | Vocal titular Arquitecta dels Serveis Territorials del Departament de Cultura a la Catalunya Central,8,64.91,€519.28,,€519.28,"Bosch Palau, Rosa",PO,,64.91,519.28,,,Vocal titular Arquitecta dels Serveis Territorials del Departament de Cultura a la Catalunya Central
Consell d’Administració de Ferrocarrils de la Generalitat de Catalunya | Conseller/a (Alcalde de Sant Boi de Llobregat),4,386.75,"€1,547.00",,"€1,547.00","Bosch Pugés, Jaume",PO,,386.75,1547,,,Conseller/a (Alcalde de Sant Boi de Llobregat)
Consell Assessor de RTVE a Catalunya | Vocal,23,221.77,"€5,100.71",,"€5,100.71","Bosch Sala, Jordi",PR,,221.77,5100.71,,,Vocal
Junta Arbitral del Transport de Catalunya. Barcelona | Vocal Representant dels consumidors i usuaris,20,64.91,"€1,298.20",,"€1,298.20","Bouhya Ainin, Fàtima Zohra",PO,,64.91,1298.2,,,Vocal Representant dels consumidors i usuaris
| Director/a General de Funció Pública,,,,"€76,270.38","€76,270.38","Bouis Gutierrez, Susana",GO,2013,,,,,Director/a General de Funció Pública
Comissió Territorial d’Urbanisme de Barcelona | Vocal Delegat Territorial del Govern de la Generalitat a Barcelona. Departament de la Presidència,8,64.91,€519.28,,€519.28,"Brea Vide, Fernando",PO,,64.91,519.28,,,Vocal Delegat Territorial del Govern de la Generalitat a Barcelona. Departament de la Presidència
Comissió de Cooperació Local de Catalunya | Vocals titulars Generalitat,3,37.86,€113.58,,€113.58,"Brea Vide, Fernando",GO,,37.86,113.58,,,Vocals titulars Generalitat
| Delegat/ada Territorial Del Govern de La Gtat. A Barcelona,,,,"€76,270.38","€76,270.38","Brea Vide, Fernando",PR,2014,,,,,Delegat/ada Territorial Del Govern de La Gtat. A Barcelona
Consell Rector Escola d'Administració Pública de Catalunya | Vocal,2,94.66,€189.32,,€189.32,Brugué Torruella. Joaquim,GO,,94.66,189.32,,,Vocal
| Cap de I'Oficina de Relacions Institucionals DEMO,,,,"€56,941.19","€56,941.19","Brugués Clapès, Gemma",IU,2014,,,,,Cap de I'Oficina de Relacions Institucionals DEMO
"Comissió Territorial d’Urbanisme de Terres de l’Ebre. Ponència Tècnica | Vocal Vicepresident tercer de la Cambra de Comerç, Indústria i Navegació de Tortosa",5,64.91,€324.55,,€324.55,"Brunet Subirats, Víctor",PO,64.91,No autoritza publicació,324.55,,,"Vocal Vicepresident tercer de la Cambra de Comerç, Indústria i Navegació de Tortosa"
Comissió de Govern local de Catalunya | Vocals,8,48.68,€389.44,,€389.44,"Buch Moya, Miquel",GO,,48.68,389.44,,,Vocals
Comissió de Cooperació Local de Catalunya | Vocals titulars Adm. Locals,3,37.86,€113.58,,€113.58,"Buch Moya, Miquel",GO,,37.86,113.58,,,Vocals titulars Adm. Locals
Comissió de Cooperació Local de Catalunya | Vocals suplents Adm. Locals,3,37.86,€113.58,,€113.58,"Budó Pla, Meritxell",GO,,Pendent autorització,113.58,,,Vocals suplents Adm. Locals
Comissió Territorial d’Urbanisme de Barcelona. Ponència Tècnica | Vocal Servei de Secretaria de les Comissions d’Urbanisme de l’Àmbit Metropolità de Barcelona dels Serveis Territorials del Departament de Territori i Sostenibilitat a Barcelona,8,64.91,€519.28,,€519.28,"Bueno Gavín, Silvia",PO,64.91,No autoritza publicació,519.28,,,Vocal Servei de Secretaria de les Comissions d’Urbanisme de l’Àmbit Metropolità de Barcelona dels Serveis Territorials del Departament de Territori i Sostenibilitat a Barcelona
Consell General Institut Català de les Empreses Culturals | Representant d'empreses de producció de fonogrames,2,162,€324.00,,€324.00,"Buget Mangione, Fèlix",CU,,162,324,,,Representant d'empreses de producció de fonogrames
| Assessor en Matèria de Coneixements Cuiturais i Projecció Externa,,,,"€54,560.52","€54,560.52","Bullish Escolíes, Daniel",CU,2014,,,,,Assessor en Matèria de Coneixements Cuiturais i Projecció Externa
Consell Escolar Catalunya Ple i Comissions | Membre,12,43.27,€519.24,,€519.24,"Burgueño Luengo, Amparo",EN,,43.27,519.24,,,Membre
Consell Català de I'FP | Titular,12,37.86,€454.32,,€454.32,"Burgueño Luengo, Amparo",EN,,37.86,454.32,,,Titular
Com. Delimitació Territorial | Vocals titulars,3,43.2,€129.60,,€129.60,Burgueno Rivero Jesús,GO,,43.2,129.6,,,Vocals titulars
Jurat Expropiació Barcelona | Vocals suplents,28,108,"€3,024.00",,"€3,024.00","Burgués Pascual, Anna M.",GO,,Pendent autorització,3024,,,Vocals suplents
Comissió Mixta Departament d'Ensenyament i entitats municipalistes | Membre,6,43.27,€259.62,,€259.62,"Burgués, Ramon",EN,OJO 2013,43.27,259.62,,,Membre
| Cap Oficina de Comunicació,,,,"€60,243.06","€60,243.06","Burjons Ales, Xavier",SA,2013,,,,,Cap Oficina de Comunicació
Consell Escolar Catalunya Ple i Comissions | Membre,18,43.27,€778.86,,€778.86,"Busom Torres, Manel",EN,,43.27,778.86,,,Membre
Consell Escolar Catalunya Ple i Comissions | Membre,26,43.27,"€1,125.02",,"€1,125.02","Busquet Canosa, Dolors",EN,,43.27,1125.02,,,Membre
Patronat ESMUC  | Patró,2,120,€240.00,,€240.00,"Busquets Galera, Josep Maria",EN,,120,240,,,Patró
Consell Assessor de Ports de la Generalitat | Vocal (Subdirectora General de Ports i Aeroports de la Direcció General de Transport i Mobilitat del Departament de Territori i Sostenibilitat),3,167.68,€503.04,,€503.04,"Busquets Vall, Rosa",PO,,167.68,503.04,,,Vocal (Subdirectora General de Ports i Aeroports de la Direcció General de Transport i Mobilitat del Departament de Territori i Sostenibilitat)
Comitè Executiu de Ports de la Generalitat | Vocal (Subdirectora General de Ports i Aeroports de la Direcció General de Transport i Mobilitat del Departament de Territori i Sostenibilitat),9,135,"€1,215.00",,"€1,215.00","Busquets Vall, Rosa",PO,,135,1215,,,Vocal (Subdirectora General de Ports i Aeroports de la Direcció General de Transport i Mobilitat del Departament de Territori i Sostenibilitat)
Consell de Govern del Consorci Port de Portbou | Vocal (Subdirectora Generalde Ports i Aeroports de la Direcció General de Transport i Mobilitat del Departament de Territori i Sostenibilitat),4,28.5,€114.00,,€114.00,"Busquets Vall, Rosa",PO,,28.5,114,,,Vocal (Subdirectora Generalde Ports i Aeroports de la Direcció General de Transport i Mobilitat del Departament de Territori i Sostenibilitat)
"Institut Català de Finances, Consell Assessor | Vocal",2,270,€540.00,,€540.00,"Cabana Vancells, Francesc",EC,,270,540,,,Vocal
Consell d’Administració de l’Agencia Catalana de l’Aigua | Vocal (Representant de Foment del Treball Nacional),4,551.72,"€2,206.88",,"€2,206.88","Cabañas Varales, Alba",PO,551.72,No autoritza la publicació,2206.88,,,Vocal (Representant de Foment del Treball Nacional)
Consell de Direcció de l’Agència de Residus de Catalunya | Vocal (Representant de Foment del Treball Nacional),3,346.18,"€1,038.54",,"€1,038.54","Cabañas Varales, Alba",PO,346.18,No autoritza la publicació,1038.54,,,Vocal (Representant de Foment del Treball Nacional)
Junta Arbitral del Transport de Catalunya. Girona | Vocal Representant de les empreses carregadores,30,64.91,"€1,947.30",,"€1,947.30","Cabarrocas Pruneda, Antoni",PO,,64.91,1947.3,,,Vocal Representant de les empreses carregadores
"Consell Assessor de la Institució de les Lletres Catalanes | Vocal representant eminent del sector de les lletres catalanes, nomenat a proposta del Consell Assessor",2,59.5,€119.00,,€119.00,"Cabré Fabré, Jaume",CU,,59.5,119,,,"Vocal representant eminent del sector de les lletres catalanes, nomenat a proposta del Consell Assessor"
Consell Català de I'FP | Titular,12,37.86,€454.32,,€454.32,"Cabré Solé, Sebastià",EN,,no autoritza,454.32,,,Titular
| Assessor/a En Planificació Estratègica,,,,"€66,825.09","€66,825.09","Cabre Trias,jordi",JU,2013,,,,,Assessor/a En Planificació Estratègica
Comissió de Cooperació Local de Catalunya | Vocals suplents Generalitat,3,37.86,€113.58,,€113.58,"Calderó Montfort, Amand",GO,,37.86,113.58,,,Vocals suplents Generalitat
Jurat Expropiació Tarragona | Vocals titulars,10,108,"€1,080.00",,"€1,080.00","Callarisa Bel, Raquel",GO,Dept Indústria,Pendent autorització,1080,,,Vocals titulars
Jurat Expropiació Girona | Vocals suplents,20,108,"€2,160.00",,"€2,160.00","Calm Soler, Montserrat",GO,,108,2160,,,Vocals suplents
Consell d’Administració de l’Institut Català del Sòl | Director (Director de l’INCASÒL),4,571.73,"€2,286.92",,"€2,286.92","Calvet Valera, Damià",PO,,571.73,2286.92,,,Director (Director de l’INCASÒL)
Consell d’Administració de Centrals i Infraestructures per a la Mobilitat i les Activitats Logístiques (CIMALSA) | President (Director de l’ Institut Català del Sòl),4,300,"€1,200.00",,"€1,200.00","Calvet Valera, Damià",PO,,300,1200,,,President (Director de l’ Institut Català del Sòl)
Consell d’Administració de l’Agència de l’Habitatge de Catalunya | Vocal (Director de l’Institut Català del Sòl),4,0,€0.00,,€0.00,"Calvet Valera, Damià",PO,,RENUNCIA A LA DIETA,0,,,Vocal (Director de l’Institut Català del Sòl)
Consell Assessor de RTVE a Catalunya | Vocal,23,221.77,"€5,100.71",,"€5,100.71","Calviño Carmona, Pere",PR,,221.77,5100.71,,,Vocal
Comissió Territorial d’Urbanisme de Tarragona. Ponència Tècnica | Vocal Cap del Servei Territorial de Cooperació Local de la Secretaria General del Departament de Governació i Relacions Institucionals,8,64.91,€519.28,,€519.28,"Cama Saballs, Alfons",PO,,64.91,519.28,,,Vocal Cap del Servei Territorial de Cooperació Local de la Secretaria General del Departament de Governació i Relacions Institucionals
Junta Arbitral del Transport de Catalunya. Girona | Vocal Representant de les empreses de transport,18,64.91,"€1,168.38",,"€1,168.38","Campmajó Caparrós, Adam",PO,64.91,No autoritza publicació,1168.38,,,Vocal Representant de les empreses de transport
Comissió Territorial d’Urbanisme de Tarragona | Vocal Directora dels Serveis Territorials del Departament d’Interior a Tarragona,8,64.91,€519.28,,€519.28,"Camps Aragonés, Rosanna",PO,,64.91,519.28,,,Vocal Directora dels Serveis Territorials del Departament d’Interior a Tarragona
Jurat Expropiació Girona | Vocals suplents,20,108,"€2,160.00",,"€2,160.00","Camps Saguè, Lluis",GO,,108,2160,,,Vocals suplents
Comissió Territorial d’Urbanisme de Lleida | Vocal Tinent d’Alcalde de l’Ajuntament de Lleida,8,64.91,€519.28,,€519.28,"Camps Torrens, Marta",PO,,64.91,519.28,,,Vocal Tinent d’Alcalde de l’Ajuntament de Lleida
Consell d’Administració de l’Institut Català del Sòl | Vocal (Secretari de Cooperació i Coordinació de les Administracions Locals del Departament de Governació i Relacions Institucionals),4,571.73,"€2,286.92",,"€2,286.92","Cañada Campos, Joan",PO,,571.73,2286.92,,,Vocal (Secretari de Cooperació i Coordinació de les Administracions Locals del Departament de Governació i Relacions Institucionals)
Consell d’Administració de l’Agencia Catalana de l’Aigua | Vocal (Secretari de Cooperació i Coordinació de les Administracions Locals del Departament de Governació i Relacions Institucionals),4,551.72,"€2,206.88",,"€2,206.88","Cañada Campos, Joan",PO,,551.72,2206.88,,,Vocal (Secretari de Cooperació i Coordinació de les Administracions Locals del Departament de Governació i Relacions Institucionals)
| Secretari/aria de Cooperació i Coordinació de Les Administrac. Locals,,,,"€79,651.66","€79,651.66","Cañada Campos, Joan",GO,2013,,,,,Secretari/aria de Cooperació i Coordinació de Les Administrac. Locals
| Directora general,,,,"€76,270.38","€76,270.38","Canal Pubill, Núria",BE,2013,,,,,Directora general
Consell de Direcció de l’Agència de Residus de Catalunya | Vocal (Representant de l'Associació Catalana de Municipis i Comarques),3,346.18,"€1,038.54",,"€1,038.54","Canalias Farres, Francesc",PO,,346.18,1038.54,,,Vocal (Representant de l'Associació Catalana de Municipis i Comarques)
Institut Català de la Salut Consell d'Administració,5,378,"€1,890.00",,"€1,890.00","Canals Innamorati, Joan",SA,,378,1890,,,
Consell Rector del Centre d'Estudis Jurídics i Formació Especialitzada (CEJFE) | Secretària,3,189.32,€567.96,,€567.96,"Canela Giménez, Conxita",JU,,189.32,567.96,,,Secretària
Consell Assessor de RTVE a Catalunya | Vocal,23,221.77,"€5,100.71",,"€5,100.71","Cánovas García, Sílvia",PR,,221.77,5100.71,,,Vocal
Comissió Territorial d’Urbanisme de l’Àmbit Metropolità de Barcelona. Ponència Tècnica | Vocal Subdirector General d’Avaluació Ambiental de la Direcció General de Polítiques Ambientals del Departament de Territori i Sostenibilitat,8,64.91,€519.28,,€519.28,"Cantó Jordi, Sergi",PO,64.91,No autoritza publicació,519.28,,,Vocal Subdirector General d’Avaluació Ambiental de la Direcció General de Polítiques Ambientals del Departament de Territori i Sostenibilitat
Comissió Territorial d’Urbanisme de la Catalunya Central. Ponència Tècnica | Secretari Cap de la Secció de Secretaria de la Comissió Territorial d’Urbanisme dels Serveis Territorials del Departament de Territori i Sostenibilitat a la Catalunya Central,8,64.91,€519.28,,€519.28,"Caparroz Pérez, Ferran",PO,64.91,No autoritza publicació,519.28,,,Secretari Cap de la Secció de Secretaria de la Comissió Territorial d’Urbanisme dels Serveis Territorials del Departament de Territori i Sostenibilitat a la Catalunya Central
Comissió Territorial d’Urbanisme de la Catalunya Central | Secretari Cap de la Secció de Secretaria de la Comissió Territorial d’Urbanisme dels Serveis Territorials del Departament de Territori i Sostenibilitat a la Catalunya Central,8,64.91,€519.28,,€519.28,"Caparroz Pérez, Ferran",PO,64.91,No autoritza publicació,519.28,,,Secretari Cap de la Secció de Secretaria de la Comissió Territorial d’Urbanisme dels Serveis Territorials del Departament de Territori i Sostenibilitat a la Catalunya Central
Comissió Territorial d’Urbanisme de Girona | Vocal,8,64.91,€519.28,,€519.28,"Capdeferro Maureta, Josep",PO,,64.91,519.28,,,Vocal
Institut d’Estadística de Catalunya (Idescat). Consell Rector | Vocal,1,64.91,€64.91,,€64.91,"Capdet Sorribes, Mayte",EC,,64.91,64.91,,,Vocal
Jurat Expropiació Lleida | Vocals titulars,20,108,"€2,160.00",,"€2,160.00","Capdevila Adrió, M. Eugènia",GO,,108,2160,,,Vocals titulars
Institut d’Estadística de Catalunya (Idescat). Consell Català d’Estadística  | Vocal,1,64.91,€64.91,,€64.91,"Capdevila Marqués, Carles",EC,,64.91,64.91,,,Vocal
Comissió Territorial d’Urbanisme de la Vall d’Aran. Ponència Tècnica | Vocal Conselh Generau d’Aran,4,64.91,€259.64,,€259.64,"Capdevila Miret, Joan",PO,,64.91,259.64,,,Vocal Conselh Generau d’Aran
Comissió Territorial d’Urbanisme de Tarragona. Ponència Tècnica | Vocal Director del Servei Regional a Catalunya. Instituto Geográfico Nacional (AGE),8,64.91,€519.28,,€519.28,"Capdevila Subirana, Joan",PO,,64.91,519.28,,,Vocal Director del Servei Regional a Catalunya. Instituto Geográfico Nacional (AGE)
Consell Escolar Catalunya Ple i Comissions | Membre,8,43.27,€346.16,,€346.16,"Capell Castañer, Dolors",EN,,43.27,346.16,,,Membre
Jurat Expr. Terres de 1 Ebre | Vocals titulars,8,108,€864.00,,€864.00,Capell Solsona. Baptista,GO,,108,864,,,Vocals titulars
| Oficina Del Govern,,,,"€76,270.38","€76,270.38","Capelleras Gonzalez, Albert",PR,2014,,,,,Oficina Del Govern
Comissió Territorial d’Urbanisme de Barcelona. Ponència Tècnica | Vocal Cap de l’Àrea de Planificació i Estudis Territorials de la Direcció General d’Ordenació del Territori i Urbanisme del Departament de Territori i Sostenibilitat,8,64.91,€519.28,,€519.28,"Carbó Boatell, Genís",PO,,64.91,519.28,,,Vocal Cap de l’Àrea de Planificació i Estudis Territorials de la Direcció General d’Ordenació del Territori i Urbanisme del Departament de Territori i Sostenibilitat
Comissió Territorial d’Urbanisme de Terres de l’Ebre | Secretària Tècnica de la Secció de Secretaria de la Comissió Territorial d'Urbanisme de les Terres de l'Ebre dels Serveis Territorials del Departament de Territori i Sostenibilitat a les Terres de l’Ebre,5,64.91,€324.55,,€324.55,"Carbó Espuny, Teresa",PO,64.91,No autoritza publicació,324.55,,,Secretària Tècnica de la Secció de Secretaria de la Comissió Territorial d'Urbanisme de les Terres de l'Ebre dels Serveis Territorials del Departament de Territori i Sostenibilitat a les Terres de l’Ebre
Comissió Territorial d’Urbanisme de Terres de l’Ebre. Ponència Tècnica | Secretària Tècnica de la Secció de Secretaria de la Comissió Territorial d'Urbanisme de les Terres de l'Ebre dels Serveis Territorials del Departament de Territori i Sostenibilitat a les Terres de l’Ebre,5,64.91,€324.55,,€324.55,"Carbó Espuny, Teresa",PO,64.91,No autoritza publicació,324.55,,,Secretària Tècnica de la Secció de Secretaria de la Comissió Territorial d'Urbanisme de les Terres de l'Ebre dels Serveis Territorials del Departament de Territori i Sostenibilitat a les Terres de l’Ebre
Consell de Direcció de l’Agència de Residus de Catalunya | Vocal  (Subdirector General de Política Industrial del Departament d’Empresa i Ocupació),3,346.18,"€1,038.54",,"€1,038.54","Carbonell Pastor, Jordi",PO,,346.18,1038.54,,,Vocal  (Subdirector General de Política Industrial del Departament d’Empresa i Ocupació)
Institut d’Estadística de Catalunya (Idescat). Consell Rector | Vocal,1,64.91,€64.91,,€64.91,"Cárcel Ferrer, Cristina",EC,,64.91,64.91,,,Vocal
Comissió de Cooperació Local de Catalunya | Vocals suplents Adm. Locals,3,37.86,€113.58,,€113.58,"Cardona Junyent, Mercè",GO,,Pendent autontzació,113.58,,,Vocals suplents Adm. Locals
Junta Arbitral del Transport de Catalunya. Girona | President Cap dels Serveis Territorials de Transports de Girona del Departament de Territori i Sostenibilitat,40,64.91,"€2,596.40",,"€2,596.40","Carenys Adell, Albert",PO,,64.91,2596.4,,,President Cap dels Serveis Territorials de Transports de Girona del Departament de Territori i Sostenibilitat
| Assessora en Matèria de Comunicació i Difusió,,,,"€60,929.26","€60,929.26","Carey, Madeline",CU,2014,,,,,Assessora en Matèria de Comunicació i Difusió
Comissió de Preus de Catalunya  | Vocal (Servei d'lndústn'es i Comercialització Agroalimentàries - Dpt ARP) ,9,51.39,€462.51,,€462.51,"Cariñena Samit, Mireia",IU,,51.39,462.51,,,Vocal (Servei d'lndústn'es i Comercialització Agroalimentàries - Dpt ARP) 
Conse  Rector Escola d'Administració Pública de Catalunya | Vocal,2,94.66,€189.32,,€189.32,"Carmona Pascual, Carme",GO,,94.66,189.32,,,Vocal
Comissió Territorial d’Urbanisme de l’Àmbit Metropolità de Barcelona | Vocal Alcaldessa de l’Ajuntament de Cerdanyola,8,64.91,€519.28,,€519.28,"Carmona Pascual, Carme",PO,64.91,No autoritza publicació,519.28,,,Vocal Alcaldessa de l’Ajuntament de Cerdanyola
"Institut Català de Finances, Junta de Govern | Vocal",11,540.9,"€5,949.90",,"€5,949.90","Carné Hernàndez, Albert",EC,,540.9,5949.9,,,Vocal
Consell d’Administració de Ferrocarrils de la Generalitat de Catalunya | Conseller/a (Director General de Política i Promoció Econòmica del Departament d’Economia i Coneixement),4,386.75,"€1,547.00",,"€1,547.00","Carné Hernàndez, Albert",PO,,386.75,1547,,,Conseller/a (Director General de Política i Promoció Econòmica del Departament d’Economia i Coneixement)
"Institut Català de Finances, Comissió d’Inversions en Capital | Vocal",11,379,"€4,169.00",,"€4,169.00","Carné Hernàndez, Albert",EC,,379,4169,,,Vocal
"Instruments Financers per a Empreses Innovadores, SL (IFEM). Consell d’Administració | President",6,360,"€2,160.00",,"€2,160.00","Carné Hernàndez, Albert",EC,,360,2160,,,President
"Institut Català de Finances, Comissió Executiva | President",11,337.95,"€3,717.45",,"€3,717.45","Carné Hernàndez, Albert",EC,,337.95,3717.45,,,President
| Director general de Política i Promoció Econòmica,,,,"€76,270.38","€76,270.38","Carné Hernàndez, Albert",EC,2014,,,,,Director general de Política i Promoció Econòmica
Comissió Territorial d’Urbanisme de la Catalunya Central | Vocal titular Directora dels Serveis Territorials del Departament de Governació i Relacions Institucionals a la Catalunya Central,8,64.91,€519.28,,€519.28,"Carné Puig, Rosa",PO,,64.91,519.28,,,Vocal titular Directora dels Serveis Territorials del Departament de Governació i Relacions Institucionals a la Catalunya Central
Comissió Territorial d’Urbanisme de Barcelona. Ponència Tècnica | Tècnic Servei Territorial d’Urbanisme de l’Arc Metropolità de Barcelona II del Departament de Territori i Sostenibilitat,8,64.91,€519.28,,€519.28,"Carpio Rovira, Anton",PO,,64.91,519.28,,,Tècnic Servei Territorial d’Urbanisme de l’Arc Metropolità de Barcelona II del Departament de Territori i Sostenibilitat
Comissió Territorial d’Urbanisme de la Vall d’Aran. Ponència Tècnica | Vocal Administració General de l’Estat,4,64.91,€259.64,,€259.64,"Carqués Serrato, Manuel",PO,,64.91,259.64,,,Vocal Administració General de l’Estat
| Assessor en Matèria d'Acció Territorial,,,,"€51,027.36","€51,027.36","Carrera Pedrol, Juan",AG,2013,,,,,Assessor en Matèria d'Acció Territorial
Comissió Territorial d’Urbanisme de Tarragona. Ponència Tècnica | Tècnic assessor Arquitecte dels Serveis Territorials del Departament de Territori i Sostenibilitat a Tarragona,8,64.91,€519.28,,€519.28,"Carrera Rey, Guillem",PO,,64.91,519.28,,,Tècnic assessor Arquitecte dels Serveis Territorials del Departament de Territori i Sostenibilitat a Tarragona
